index,neighbourhood,cluster_sum,noise_1,noise_2,noise_3,noise_4,noise_5,safety_1,safety_2,safety_3,safety_4,safety_5,entertainment_1,entertainment_2,entertainment_3,entertainment_4,entertainment_5,restaurant_1,restaurant_2,restaurant_3,restaurant_4,restaurant_5,host_1,host_2,host_3,host_4,host_5,expense_1,expense_2,expense_3,expense_4,expense_5,shopping_1,shopping_2,shopping_3,shopping_4,shopping_5,nightlife_1,nightlife_2,nightlife_3,nightlife_4,nightlife_5,transit_1,transit_2,transit_3,transit_4,transit_5
34,Bronxdale,"It is also right next to a grocery store and near many places to eat. It's a wonderful place to stay. It's a small room with regular bed, closet, mirror and a lot of plants! Belkis is a great host. Very clean and great host. If you are hoping to have a space to hang out in you'd probably want to know that up front. ",Nothing like peace and quiet while you relax!,"It's an old building but with that comes beauty, surprises, art in small places.",Fully stocked fridge with water and pops.,"Family environment, good kid's, respectful.","Spacious room, comfortable bed, great host with instant communication via text for any questions.",Easy on and off access to major highways.,A safe neighborhood with convenience  markets and local short order restaurants.,"Cozy, clean and easy access to public transport.",Easy access to main arteries and public transportation.,Easy to walk to public transportation.,Game consoles and chrome cast.,"Family environment, good kid's, respectful.","Overall great room with a large TV and PS4, xbox systems.",Excellent location for travelers visiting NY for shopping.,Great host for communication & assistance.,"Public transit, grocery store and food places are nearby.",Plenty of local shopping and restaurants available.,"Close to public transportation, restaurants and stores.",Close to little cafe/ market/ stores .,Close to stores and restaurants.,Great host & great communication.,"Nice place, super nice host!",Couldn't ask for a better host.,Super nice and accomodating host!,"Absolutely love Miss Zoraida’s home, great host!",Great value in a safe neighborhood.,It's a good price place to go if you are on a budget.,Clean place and good for value.,Shared bathroom is ok. Good value.,"Everything needed in short stay, plus some extra perks, are provided.","Public transit, grocery store and food places are nearby.",Excellent location for travelers visiting NY for shopping.,"Great place to stay, spacious bedroom, walking distance to subway, shops and fast food.",Parking is best at a pay to park garage as street parking is scare.,You could easily find groceries and markets within walking distance.,A safe neighborhood with convenience  markets and local short order restaurants.,Location is perfect for dining out and very quiet relax neighborhood.,"Great place to stay, spacious bedroom, walking distance to subway, shops and fast food.","Breakfast items, coffee and snacks are provided.",Location was easy for public transportation.,Easy to walk to public transportation.,Location was easy for public transportation.,Great location near public transit.,Right next to subway stop--easy ride to manhattan!,Public transit is close by and convenient.
35,Breezy Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Briarwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Brooklyn Heights,"Idan was responsive and a great host. Very clean apt...great location that is close to subway and shops. I'd add that it was spotlessly clean and everything looked like new. Very cozy and nice apartment, met expectations and pictures perfectly. Really lovely place in a great location! It's a walkup so be prepared for that if you have a lot of luggage. ","If city noise bugs you, you might want to find a quieter spot.",A white noise machine was even provided.,Minor lighting issues that need to be corrected and no closet space.,Memory foam bed very comfortable.,Communication is clear and concise.,Perfect host and pertect locaition.,Communication response was quick and easy.,Open lines of communication with speedy responses and great information on local spots for food and drink.,excellent position with respect to public transit.,"Easy access to shopping, restaurants, etc.","Excellent TV, cable and wireless.","Internet, TV was not available.","super central, quick access to shops/restaurants on montague street, cvs/subways/playgrounds.",Communication is clear and concise.,Open lines of communication with speedy responses and great information on local spots for food and drink.,"Very close to grocery stores, coffee shops, and restaurants.","Close to shops, groceries, bars and restaurants.","Close amenities include cafes, restaurants, subways, bars and coffee.","Quiet street with excellent grocery, liquor store and restaurants nearby.","Good coffeeshops, restaurants, grocery near by.",Good location and responsive host.,(wish list sent to host).,"Great place, location, and host!","Great location, friendly and accommodating host Wonderful home, great host an an absolutely perfect area!",host with great in communicating with me.,"Easy access to shopping, restaurants, etc.",and home appliances have made trip deeply satisfying.,excellent position with respect to public transit.,Good location and good value for money.,Parking was a great bonus.,Shopping from boutiques to chain stores .,"Easy walk to subway stops,  restaurants, and shops.","Convenient location to great restaurants , shopping, and sightseeing.","Location is easy walk to subway, restaurants and shops.","It's close to shopping, restaurants and laundry.","Convenient location to great restaurants , shopping, and sightseeing.","Close amenities include cafes, restaurants, subways, bars and coffee.","Fantastic location, with many options nearby: restaurants, markets, and quirky shops.","Location is easy walk to subway, restaurants and shops.",Quiet neighborhood with great restaurants.,"Convenient to all public transport, food, and shopping.",Super location with close subway and river walk access.,"Many stores, restaurants, public transit nearby.",Various subway stops within walking distance.,"Easy walk to subway stops,  restaurants, and shops."
38,Brownsville,"Room was very cozy and place was clean. It was clean and very usefull. Not really walking distance to restaurants and shops but close to subway lines. Olvin is a great host and super accommodating. With all that being said, it's still a decent place to stay. Really good place to stay at felt comfortable and host replied very fast . ",TVs has a cable connection.,Parking not a problem which was great!,It was clean and quiet.,Parking is a serious issue.,It was all clean and everythign worked fine.,"Quick responses, great place to stay!",Very clean and safe place to stay!,"Prompt responses, clean place, pleasurable stay.","Location is good, close to subway.",Parking not a problem which was great!,"Easy instructions, clean place, very nice hosts, affordable Excellent hospitality!","Excellent room, accommodations, and location.","Interesting discussion, funny moments and so on.",Hosts are super nice and outstanding hospitality is given!,"convenient location to train station, markets and restaurants.","convenient location to train station, markets and restaurants.",Subway station is super close.,Not really walking distance to restaurants and shops but close to subway lines.,"Recommending, nice apartment and location close to metro.",Very close to subway and restaurants.,"A little outdated, but host super responsive.",Olvin is a great host and super accommodating.,"Especially, hosts are really kind!","Overall, great place and very friendly hosts, would stay again.",Olvin is a great host.,"Low price, very good condition.","Prompt responses, clean place, pleasurable stay.",Definitely a value for money.,Very fast responses and quick booking experience.,"Excellent room, accommodations, and location.","convenient location to train station, markets and restaurants.",Not really walking distance to restaurants and shops but close to subway lines.,Parking not a problem which was great!,"Good host, clean place and convenient to stay to sleep.",Train and stores close by.,"convenient location to train station, markets and restaurants.","Excellent room, accommodations, and location.",Wonderful breakfast and location was perfect.,"Comfortable bed, with complimentary coffee, tea, and water.","Recommending, nice apartment and location close to metro.",Subway is within walking distance.,"Good location, close to trains.",Close to trains and taxi.,Train and stores close by.,"Location is good, close to subway."
39,Bull's Head,Madeline is very kind and a great host. It was really cool to stay in Madeline‘s house. Good place to stay in. Thank you for all ! Great location near wild life refuge. Bedroom is spacious and comfortable. ,Great location near wild life refuge.,Bedroom is spacious and comfortable.,Willing to accommodate special requests.,Hosts work from home so are often around.,So much better than hotel life!,Great location near wild life refuge.,Host was very accommodating and freindly.,Willing to accommodate special requests.,"You will never regret Great, and clean place.","great great and amazing place to stay,  amazing hosts n even better service/response time.",Host was very accommodating and freindly.,Large room with private bath and laundry available.,Hosts work from home so are often around.,Great location near wild life refuge.,Everything is new and clean.,Large room with private bath and laundry available.,Bedroom is spacious and comfortable.,So much better than hotel life!,Great location near wild life refuge.,Good place to stay in.,It was really cool to stay in Madeline‘s house.,"You will never regret Great, and clean place.",Madeline is very kind and a great host.,Great location near wild life refuge.,Hosts work from home so are often around.,Large room with private bath and laundry available.,So much better than hotel life!,It was really cool to stay in Madeline‘s house.,Bedroom is spacious and comfortable.,Everything is new and clean.,Hosts work from home so are often around.,Large room with private bath and laundry available.,So much better than hotel life!,Great location near wild life refuge.,Good place to stay in.,Great location near wild life refuge.,Large room with private bath and laundry available.,So much better than hotel life!,Bedroom is spacious and comfortable.,"great great and amazing place to stay,  amazing hosts n even better service/response time.",Everything is new and clean.,So much better than hotel life!,Good place to stay in.,Large room with private bath and laundry available.,Hosts work from home so are often around.
40,Bushwick,,Noise level wasn’t an issue for us at all.,But no noise from subway.,free-creativity and modernity.,White noise machine made it easy to sleep without being disturbed.,"Walls are thin, definitely no noise insulation.",Safe neighborhood full of personality.,"Safety, cleanness, friendly and calm place.","Cons: cleanliness, noise, and location.","All was great, safety and clean.","Everything good, lots of privacy and safety!",":) Excellent hospitality, communication and cleanliness!",Fun art and clean place.,Food transit night life etc.,"Close to transportation, food, entertainment, and shopping stores.","Food, transportation and entertainment close.","Lots of cool restaurant and bar, cafe.","Subway station, stores, drugstores, delis, restaurants.",Cafe and organic supermarket are downstair.,Close to restaurant and bars.,Fun bars and restaurants nearby.,Host is accommodating and great in communication.,"Great location, host, and place.",Host was quick to respond.,Host was great and communicative.,Host was great communication wise.,Overall good value for money.,"Overall, good value for money.",aded value was private yard.,location and price are fantastic.,"Cons: cleanliness, noise, and location.",Shopping for food to cook is close.,Shopping and attractions require transit though.,"Close to transportation, food, entertainment, and shopping stores.",Walking distance to food and thrift shops.,Convenient to shopping and restaurants.,"Great neighborhood, food and nightlife all around.","It is close to restaurants, nightlife, and public transportation.",Fun bars and restaurants nearby.,Super cute loft located near great restaurants & nightlife.,Fun area with cool coffee shops nearby.,Location to transit was good too.,Easy access to public transit.,Walking distance from public transit.,Food transit night life etc.,Close to transit and food.
41,Cambria Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Chelsea, Staten Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chinatown,"It is a lovely place to stay. Ange is a great host. Great host, great location, and very clean place! It is small but you have all amenties you might need for a short stay. Extremely nice and clean apartment that is surrounded by a lot of amazing shopping. It is in a great location for sightseeing, easy transit via subway, and walking distance to tons of great restaurants and bars. ",Unit is also Protected from street noise.,Also garbage downstairs walking into  building smelled really bad.,"Very honest description, including  accurate note of street noise- so light sleepers beware.",Near a train overhang so a little noise but honestly not bad at all.,Quick white noise app download is all you need to sleep like a rock.,"Fair price, amazing location, close to public transport and subways!!!","Location, kindness, cleanroom was wonderful.",Cleanliness average.Expect pet fur on bed and floor.,"Location, comfort, cleanliness, gracious host.","Very clean, safe, and accommodating!",food and dessert right downstairs.,Great hospitality and value !,High-quality cooking equipment and cutlery.,"Food, entertainment, and attractions are all super close by.","Food, culture and nightlife galore!","Fantastic coffee, bars and restaurants.","Close laundry, skateshop, restaurants, bars, transit.",Close to restaurants and coffee shops.,"Range of restaurants, bars and coffee houses is superb.",Great cafes and bars nearby!,Host is friendly and offers quick reply.,Small place - great host!,Host was also very responsive.,"Affordable price,easy to access,kind host.",Host was very accommodating and responsive.,"Bad value for money, with poor comfort.",No probs with access and was good value.,Economic pricing with convenient neighborhood.,"great place,great people,great money",Good value for price ratio.,"Super convenient location to subway, foods and shops!!","food,shopping, and nightlife all in walking distance.",Walking distance to many shops!,"Coffee shops, bagels, bakeries, etc...","Lots of resturants, shopping, Nightlife nearby.","Food, culture and nightlife galore!","food,shopping, and nightlife all in walking distance.","Lots of resturants, shopping, Nightlife nearby.","Surrounding area had great options for food, drink, shopping and nightlife.","Location, comfort, cleanliness, gracious host.",Also a short walk to public transit.,Transportation around manhattan was easy with a subway station nearby within walking distance.,Short walking distance to public transit.,Public transportation was very accessible.,Easy access to transportation and street parking.
44,City Island,"It is so lovely and conveniently located. Great host, good communication, great location, and comfy apartment. It was very spacious, clean and in an excellent location. Would love to visit again. Highly recommend it Very nice space, close to everything including a mall and not too much traffic to local destinations. Thank you very much for being wonderful hosts. ",Washing machine is a bonus!,It has cable and air-conditioning and was a peaceful retreat after work and traffic.,"barbecue, fire pit, canoes, and paddle boards).","Description was accurate, walking distance to restaurants , bars, and market.",A lot of people in past reviews complained about noise from upstairs.,Could use some slight repairs.,Very private and secure space.,"Location is very convenient, near shops and public transport.",It has cable and air-conditioning and was a peaceful retreat after work and traffic.,"Apartment convenient to food store, restaurants, in a safe area.","Great host, good communication, great location, and comfy apartment.",Nice liquor store also--small but adequate.,Quaint place and great host communication!,"Apartment convenient to food store, restaurants, in a safe area.",It has cable and air-conditioning and was a peaceful retreat after work and traffic.,"Apartment convenient to food store, restaurants, in a safe area.","Walking distance to stores, pharmacy and restaurants.","Walking distance to a number of good restaurants, local grocery stores.","Outstanding host, cozy, private apartment.",Great restaurants within walking distance.,"Wonderful hosts, clean home and comfy room.","Great location, great apartment and a great host!","Clean, comfy, and charming hosts.",Very quick respond from host.,Great location and a great host.,"Apartment convenient to food store, restaurants, in a safe area.","Location is very convenient, near shops and public transport.","Description was accurate, walking distance to restaurants , bars, and market.","Basic accommodations, in need of some upgrades but it was very clean.",Great value - tons of space and excellent location.,"Walking distance to stores, pharmacy and restaurants.","Location is very convenient, near shops and public transport.","Apartment convenient to food store, restaurants, in a safe area.","Walking distance to a number of good restaurants, local grocery stores.","Description was accurate, walking distance to restaurants , bars, and market.","very cozy, waterfront with water sports.","Apartment convenient to food store, restaurants, in a safe area.",Close to nightlife yet very homey and just plain nice!,"Description was accurate, walking distance to restaurants , bars, and market.",Great restaurants within walking distance.,No problem finding free parking within a block.,"Location is very convenient, near shops and public transport.","Description was accurate, walking distance to restaurants , bars, and market.",If u are traveling public vehicle its very accessible!,"barbecue, fire pit, canoes, and paddle boards)."
45,Cypress Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Canarsie,"Very clean , and  a great place to stay. It is close to shops, restaurants and local transport i.e. It was in a great spot that is really accessible to almost everything. Thank you annmarie for a great stay! It was very clean and comfortable. It was a great stay. ",Communication was instantaneous and clear.,"Big living area, nice comfortable bed and dining area.","no air conditioning, no hot tub.","Consistency is key.lovely area, felt very safe...noise free environment.","Very clean , smelled great at all times !","Extremely friendly hosts, clean environment, close public transportation, cost effective!","Neighborhood safe, public transportation close.",Parking is easy and safe.,"Great privacy, but still with support and care.",Very high functioning and safe apartment.,Communication with host easy and fast.,Great amenities and great hospitality.,Great location and amazing communication.,Lots of amazing food and local transportation.,"Great tv service, and amazing WIFI.",shops and restaurants are around.,And some fast food restaurants.,Coffee shops and convenience stores are also close by.,Convenience store are very near and supermarket too.,"Walking distance from fast food, laundromat, grocery store etc.",Host was easy to work with.,Host very responsive during stay.,Host is very kind to us.,Wonderful and hospitable hosts !,Host is always communicating with you and available.,"Amazing place, wonderful cost and co-host.",Great value for money !,return visit is a must.,Location and value for money are perfect.,home was easy to find and access.,shops and restaurants are around.,Also convient to transportation and shops.,"Walking distance from fast food, laundromat, grocery store etc.",Several places to visit and shop.,Parking is easy and safe.,Stylish space and quiet neighborhood!,"Natasha studio is walking distance to public transit, nearby local shops and restaurants .",And some fast food restaurants.,"Space was clean, intimate, a walk from public transport.","Free bagels and juice, excellent wifi, safe neighborhood.","Space was clean, intimate, a walk from public transport.",Close to shops and public transit.,Metro card a brilliant purchase and can be used on buses and subway (underground).,Fairly convenient to public transportation.,easy access to local buses and metro.
47,Carroll Gardens,"It was quiet with tons of nice restaurants, bars, and shops in walking distance. Annette was very easy to communicate with, friendly and a great host. It was super clean, quiet, and very comfy. Thank you for a great stay! Great location in a safe neighboorhod and so charming! It is a great place to stay Everything came as advertised. ","As long as you have a white noise app you are willing to sleep plugged into (or are used to lots of city noise), you should be fine.",Communication and quality space on point!,Little bit of noise from trains but not too bad.,Noise from nearby express way made us sleep with ear plugs.,"Noise, voices, etc go right through it.",Very clean room/facilities and friendly hospitality.,Quick responses and great communication.,Lovely neighborhood and safe space.,Good to have a sharing experience or privacy.,Great communication and a clean space.,Communication and quality space on point!,"Great location, space, amenities and host.",Communication was effective and immediate.,"Fantastic location, charming set up, easy communication, and everything as advertised.",No tv but lots of books and board games.,"Restaurants, bakery deli,  within steps.",Good local bars and restaurants.,"Grocery stores, restaurants, coffee shops all in walking distance.","stores, bakeries and coffee spots.",Close to local grocery store and restaurants.,"Clean, friendly host- would re book!!!",Host was easy to reach at times.,Great host and great experience!,"Amazing location, home and host.","Great space, location and host!",Good price great location Quick to respond and accommodate.,Easy communication and facilitation of obtaining keys.,may be a bit pricey but its selection is outstanding!,"Easy, affordable clean and no hassle.","A truly cost- effective, convenient spot.","Perfect location, cafes, shops and retails.",Walking distance to shops and restaurants.,"Grocery stores, restaurants, coffee shops all in walking distance.","Walking distance to DUMBO, shopping and food.",Easy access to shops and trains.,Great stores around and nightlife for those interested.,"Great neighborhood vibes, and eateries.","Perfect location, cafes, shops and retails.",Location close to nice cafes and restaurants.,"Super convenient location relative to train, coffee shops, restaurants and a park!!","Easy access to subway, cabs and restaurants.",Close to transit and everything you might need.,Great transit access and parking was easy.,Great community and close to transit.,Restaurants and transit is very close by.
48,Castle Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Castleton Corners,"Nice house, perfect for a family or group. It was in a great location with easy access to many things. It was so clean and modern. Happy & Satisfied AirBnB customer!!! Privacy fence was a plus Parking – off road and ample. ",Parking – off road and ample.,"Garage – present, but not accessible",It was so clean and modern.,It was also convenient to everything.,It is in walking distance to a lot of stores and restaurants.,Happy & Satisfied AirBnB customer!!!,It is in walking distance to a lot of stores and restaurants.,It was also convenient to everything.,"Lovely clean house,private parking , close to shops,quite neighborhood and very friendly and reliable host.","Garage – present, but not accessible",Great house for a family or group.,A better alternative to a hotel room.,It was in a great location with easy access to many things.,"Lovely clean house,private parking , close to shops,quite neighborhood and very friendly and reliable host.","Garage – present, but not accessible",It is in walking distance to a lot of stores and restaurants.,"Lovely clean house,private parking , close to shops,quite neighborhood and very friendly and reliable host.",A better alternative to a hotel room.,"Garage – present, but not accessible","Nice house, perfect for a family or group.","Lovely clean house,private parking , close to shops,quite neighborhood and very friendly and reliable host.",It was so clean and modern.,It is in walking distance to a lot of stores and restaurants.,"It was spacious, clean and brand new.",It was in a great location with easy access to many things.,"It was spacious, clean and brand new.",Parking – off road and ample.,"Nice house, perfect for a family or group.",Happy & Satisfied AirBnB customer!!!,Privacy fence was a plus,Parking – off road and ample.,"Garage – present, but not accessible",It is in walking distance to a lot of stores and restaurants.,"Lovely clean house,private parking , close to shops,quite neighborhood and very friendly and reliable host.","It was spacious, clean and brand new.","Lovely clean house,private parking , close to shops,quite neighborhood and very friendly and reliable host.",It is in walking distance to a lot of stores and restaurants.,"Nice house, perfect for a family or group.","It was spacious, clean and brand new.",A better alternative to a hotel room.,A better alternative to a hotel room.,"It was spacious, clean and brand new.",It is in walking distance to a lot of stores and restaurants.,Parking – off road and ample.,Privacy fence was a plus
50,Grant City,"It is also very nicely designed. Great location, very clean and you could not ask for a better host! You couldn't ask for anything better! Super clean and everything is in good order. Very nice host, quick to respond to any questions. Thank you for a wonderful stay! ","Very nice host, quick to respond to any questions.","Great location, very clean and you could not ask for a better host!",Super clean and everything is in good order.,It is warm and inviting.,"Plenty of high quality linens, comfortable bed with good pillows.","Very clean, up to date, private entrance.","Plenty of high quality linens, comfortable bed with good pillows.",Great location near subway a d stores.,Would deff recommend and stay again!,"Very nice host, quick to respond to any questions.","Very clean, up to date, private entrance.",Walking distance to shops and wonderful restaurants.,A private downstairs apartment and it is beautiful.,It’s such an adorable and home-y little space.,"Lovely little studio apartment, not too far from public transport or a grocery store.",Walking distance to shops and wonderful restaurants.,"Lovely little studio apartment, not too far from public transport or a grocery store.",Great location near subway a d stores.,A private downstairs apartment and it is beautiful.,"Great location that is close to everything a person needs, excellent host, and a bed more comfortable than those in desirable hotels.",Honestly could not have asked for a better host!,Highly recommended for future guest.,"Great host, very nice and kind.",Extremely friendly and thoughtful host.,"Great location that is close to everything a person needs, excellent host, and a bed more comfortable than those in desirable hotels.",You couldn't ask for anything better!,"Very nice host, quick to respond to any questions.","Great location, very clean and you could not ask for a better host!",It was also a very good value!,A private downstairs apartment and it is beautiful.,Walking distance to shops and wonderful restaurants.,"Lovely little studio apartment, not too far from public transport or a grocery store.",Great location near subway a d stores.,Easy to get to NY by bus or ferry.,Everything is brand new and fresh.,Walking distance to shops and wonderful restaurants.,"Great location that is close to everything a person needs, excellent host, and a bed more comfortable than those in desirable hotels.",A private downstairs apartment and it is beautiful.,"Lovely little studio apartment, not too far from public transport or a grocery store.",Great location near subway a d stores.,Walking distance to shops and wonderful restaurants.,Great communication at all times.,Super clean and everything is in good order.,It's a very comfortable place away from home.,"Very clean, up to date, private entrance."
51,Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chelsea,"Great place as has great privacy A wonderful apartment in a fantastic location. Thank you for a great stay! You could not get a better location as every thing was so close and handy to get around. Very clean, and neat apartment, provided with everything you need for a pleasant stay. You’ll be central located to great shops, restaurants, train stations, and more. It was extremely clean, inviting, and comfortable. ",Neighborhood under major construction but noise was not an issue.,"Street noise was a little noticeable, but not intrusive.","Very central location, no noise issues (which was a relief!",Memory foam pillows and surround sound was on point.,It lacks proper ventilation causing temperature issues and funny smells.,"In terms of safety, have no fears.",Quality bedding with memory foam mattress in master.,Cleanliness and comfort more than enough.,"Cleanliness, comfortability and new amenities are waiting for you.",Quick response and great location.,Hospitality was amazing - terrific.,"Super close to great restaurants, nightlife and public transportation.","Fantastic location, communication and accommodation!!","Excellent location near subway stops, entertainment, food, etc.",Excellent choice for food and entertainment nearby.,"Grocery, restaurant and bars all nearby.","Food store, pharmacy and restaurants close by...","It's near restaurants, bars and multiple grocery stores.","Deli, foods and bars and shoping.","Close to subway stations, grocery stores, bars and restaurants.",Location and hosts are great.,Host was great and perfect!,Quick responses from host and co-host.,Host is communicative and quick.,Host was accessible and friendly.,A good value for money!,It had no value for money.,"Positives: location, price, comfy mattress, things work.",Such a lovely cost apartment!,"), cleanliness, feeling of safety and affordability.","Walking distance to grocery store, pharmacy, and fun things to do.","Easy to get around, walk to shopping, food and galleries.",Location was close to transportation and shopping.,"Great location for restaurants, transportation, and shopping.","Great eats, shops, transport links.","Super close to great restaurants, nightlife and public transportation.","Close to shops, cafes and nightlife.",Near tons of restaurants and nightlife.,"Great neighborhood, lots of restaurants, stores, nightlife etc.","Great location location, near restaurants, coffee places and food markets.","Close to food, bars, transit, and central to everything.","Easy access to cabs, ubers, subways, and busses.",Good access to public transportation.,Easy subway and bus access.,Convenient location for walking and transit.
53,Civic Center,"It is near place to subway Good host and a good stay! It was perfect for us. It is not fancy but very clean. Great location, very clean and spacious apartment. OVERALL EXPERIENCE: Great place in a great location. ",it is close to many sights and transportation.,Really close to public transport.,everything is fine except kind of noisy and room is not spacy.,Good location for bars and clubs/cafes etc.,Appreciate hosts quick response to internet issue and wonderful huge TVs.,Appreciate hosts quick response to internet issue and wonderful huge TVs.,it is close to many sights and transportation.,Nice and clean apartment with comfortable beds.,"Good location, comfortable bed, fast WiFi.",Good location for bars and clubs/cafes etc.,Host had amazing likes of communication.,It was great fun to chat with you!,Good location for bars and clubs/cafes etc.,Communication was easy from beginning to end.,it is close to many sights and transportation.,Lots of nearby shops and restaurants.,Good location for bars and clubs/cafes etc.,Plenty of restaurants and food choices.,lot's of bars and restaurants and in general a very lovely and young area.,Small shared bathroom and toilet combination.,Perfect for a young couple.,Appreciate hosts quick response to internet issue and wonderful huge TVs.,Host around a lot and easily contactable.,Great host and great place.,Perfect for couples ready to explore.,Communication was easy from beginning to end.,I'd strongly recommend providing a working phone number in case of emergencies.,Host around a lot and easily contactable.,Good location for bars and clubs/cafes etc.,Location was great and neighborhood was easy to maneuver.,Lots of nearby shops and restaurants.,great place in general and above a pizza shop can't beat that!,Good location for bars and clubs/cafes etc.,Plenty of restaurants and food choices.,Location was great and neighborhood was easy to maneuver.,Good location for bars and clubs/cafes etc.,Plenty of restaurants and food choices.,Location was great and neighborhood was easy to maneuver.,"Good location, comfortable bed, fast WiFi.",Lots of nearby shops and restaurants.,Really close to public transport.,Good location for bars and clubs/cafes etc.,Small shared bathroom and toilet combination.,/mia and magnus Very easy place to get to from public trans or vehicle.,it is close to many sights and transportation.
54,Claremont Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Clason Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Clifton,"It was a very nice place to stay. SAFE LOCATION SUBURBAN NOT FAR FROM AIRPORT..... Wonderful host, great place, outdoor space and location!! Thanks a lot for hosting us. It is extremely clean and very comfortable. Anyone used to apartment living already shouldn't have a problem though! ",Anyone used to apartment living already shouldn't have a problem though!,"Perfect location, beautiful house and a very bug yard!",Presentation of housing and cohabitation rules.,"Wonderful host, great place, outdoor space and location!!","Convenient location with many restaurants, groceries, and transportation nearby.","Perfect location, beautiful house and a very bug yard!",Everything was clean and organized.,"Wonderful host, great place, outdoor space and location!!",Parking was easy and plentiful.,Presentation of housing and cohabitation rules.,Presentation of housing and cohabitation rules.,Parking was easy and plentiful.,Easy to get by public transport.,"Pictures provide accurate representation of space - minimalist studio set-up that is borderline 1bd/1ba with nice spacious, clean bathroom.","Great location, great apartment and great host.","Convenient location with many restaurants, groceries, and transportation nearby.","Great value, great location, easy on street parking.","Wonderful host, great place, outdoor space and location!!","Great location, great apartment and great host.","Perfect location, beautiful house and a very bug yard!",Thanks a lot for hosting us.,Very personable host and everything was as expected!,=) Amazing place to stay.,"A very interesting and cool place to stay in, especially for people like us -- avid dog and nature lovers in a big city!","Wonderful host, great place, outdoor space and location!!",Easy to get by public transport.,"Overall, a very good experience for a very reasonable price.",Parking was easy and plentiful.,Presentation of housing and cohabitation rules.,Room has a lot of space and it was clean.,"Convenient location with many restaurants, groceries, and transportation nearby.",Parking was easy and plentiful.,Easy to get by public transport.,"Great value, great location, easy on street parking.","Perfect location, beautiful house and a very bug yard!","Convenient location with many restaurants, groceries, and transportation nearby.","Wonderful host, great place, outdoor space and location!!","Perfect location, beautiful house and a very bug yard!","A very interesting and cool place to stay in, especially for people like us -- avid dog and nature lovers in a big city!",Parking was easy and plentiful.,"Pictures provide accurate representation of space - minimalist studio set-up that is borderline 1bd/1ba with nice spacious, clean bathroom.","Perfect location, beautiful house and a very bug yard!","Great value, great location, easy on street parking.",Presentation of housing and cohabitation rules.,"Best of all, it's a quiet place , convenient parking and plenty of space!"
57,Clinton Hill,"Great location and a lovely place to stay. Lila is a great host, very communicative and easy going. Thank you for a great stay! It was clean, cozy, and in a great location. It was super easy to get to am located by plenty of things to do. Very clean and cosy, great location, within walking distance of subway stations and bus routes, tons of shops/restaurants all close by. ","Bring earplugs if you are a light sleeper - street noise (loud ambulances/sirens, garbage trucks) and upstairs neighbor can be noisy because of hardwood floors.",Street noise was present but not too loud.,Noise from subway to be noted but not a real problem unless you are a light sleeper.,Ceiling fans give some relief unfortunately in - window air conditioning was too noisy for me.,Quick communication & friendly demeanor.,Great communication and customer service.,Family friendly and good safe location.,Safe neighborhood,Safe and good house and area.,"Very secure and safe, with several layers of security.",Great amenities both culinary and electronic.,"Every detail was covered in terms of amenities, decor, and entertainment.","Great communication, location and amenities.","Interesting architecture, furniture, decor and details.",Communication was great and location excellent.,"Restaurants, coffee shops, parks etc.","Grocery, laundry, public transport, restaurants and bars.","Restaurants, coffee shops, and parks abound.","Grocery story, local restaurant, good wine store, and a couple of bars close by.","Great neighborhood with coffee shops,  parks, restaurants, grocery stores.",Host is thoughtful and communicative.,"Great place, host, and location.",Host was prompt and kind.,Host is friendly and accommodating.,Host was more than accommodating.,Extremely good value for money.,"Excellent location and neighborhood, below expectations for price.",Basic but great value for money.,Excellent location and value for money.,Good value if you don't mind miner cleanliness issues.,Shopping and places to eat nearby.,"Very convenient to shops, parks, transportation.",Location: Walking distance to grocery store.,"Short walks to coffee shops, diners and stores.","Very convenient to grocery, restaurants, coffee shops, bakeries.","Fantastic location near transportation, bars, cafes, and restaurants.","Walkable to restaurants, subway, grocery.","Grocery, laundry, public transport, restaurants and bars.","Location was great for everyday shopping, restaurants and bars.","Walking distance to great restaurants and bars, parks, shopping, pizza, coffee",Very easy access to public transit and city bike.,Close to public transit and restaurants/bars.,Great proximity to public transit.,Location is convenient to transit.,It was convenient to public transit.
58,Co-op City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
